//唯一名称0,显示名称1,卡牌类型2,种族3,是否是衍生物4,卡图5,星级6,打出费用7,是否是金卡8,攻击力9,生命值10,关键字11,code12,描述13,背景描述14,tag15
金刚刃牙兽,金刚刃牙兽,随从,机械,0,card71,2,,,3,3,,,,,2;机械;战吼
纳斯雷兹姆监工,纳斯雷兹姆监工,随从,恶魔,0,card72,2,,,2,4,,,,,2;恶魔;战吼
食腐土狼,食腐土狼,随从,野兽,0,card73,2,,,2,2,,,,,3;野兽流;野兽
漂浮观察者,漂浮观察者,随从,恶魔,0,card74,4,,,4,4,,,,,2;恶魔
扭曲巨龙泽拉库,扭曲巨龙泽拉库,随从,龙,0,card75,5,,,4,12,,,,,2;龙;恶魔;召唤
虚空幼龙,虚空幼龙,随从,龙,1,card76,1,,,6,6,,,,,
梦魇融合怪,梦魇融合怪,随从,融合怪,0,card77,2,,,3,4,,,,,2;奇异;特殊
融合怪,融合怪,随从,融合怪,1,card78,1,,,1,1,,,,,2
狼王戈德林,狼王戈德林,随从,野兽,0,card79,5,,,4,4,,,,,0;野兽流;野兽;亡语
鱼人猎潮者,鱼人猎潮者,随从,鱼人,0,card80,1,,,2,1,,,,,2;鱼人;战吼;召唤
鱼人斥候,鱼人斥候,随从,鱼人,1,card81,1,,,1,1,,,,,2
正义保护者,正义保护者,随从,,0,card82,1,,,1,1,圣盾;嘲讽,,,,2;中立流;圣盾;嘲讽;中立
石塘猎人,石塘猎人,随从,鱼人,0,card83,1,,,2,3,,,,,2;鱼人;战吼
老瞎眼,老瞎眼,随从,鱼人,0,card84,2,,,2,4,,,,,1;鱼人流;鱼人
拜格尔格国王,拜格尔格国王,随从,鱼人,0,card85,5,,,6,3,,,,,0;鱼人;战吼;亡语
温顺的巨壳龙,温顺的巨壳龙,随从,野兽,0,card86,6,,,5,4,,,,,2;野兽;鱼人;战吼
机械动物管理员,机械动物管理员,随从,机械,0,card87,2,,,3,3,,,,,2;机械;鱼人;野兽;龙;战吼;混合
强能箭猪,强能箭猪,随从,野兽,0,card88,3,,,2,4,,,,,1;野兽流;野兽;亡语
长鬃草原狮,长鬃草原狮,随从,野兽,0,card89,4,,,6,5,,,,,2;野兽;亡语;召唤
土狼,土狼,随从,野兽,1,card90,1,,,2,2,,,,,
格洛顿,格洛顿,随从,机械,0,card91,1,,,1,3,磁力;,,,,2;机械
钢铁武道家,钢铁武道家,随从,机械,0,card92,4,,,2,2,,,,,2;机械
机械袋鼠,机械袋鼠,随从,机械,0,card93,1,,,1,1,,,,,2;机械;亡语;召唤
机械袋鼠宝宝,机械袋鼠宝宝,随从,机械,1,card94,1,,,1,1,,,,,
龙人军官,龙人军官,随从,龙,0,card95,1,,,2,3,嘲讽,,,,2;龙;嘲讽
黑龙领主死亡之翼,黑龙领主死亡之翼,随从,龙,0,card96,6,,,12,12,,,,,3;手牌;龙;亡语;召唤
深蓝刃麟龙人,深蓝刃麟龙人,随从,龙,0,card97,4,,,5,5,,,,,2;龙
时空破坏者,时空破坏者,随从,龙,0,card98,5,,,4,5,,,,,1;手牌;亡语;龙
攻城恶魔,攻城恶魔,随从,恶魔,0,card99,4,,,5,8,嘲讽;,,,,2;恶魔;嘲讽
龙人执行者,龙人执行者,随从,龙,0,card100,4,,,3,6,,,,,3;圣盾流;圣盾;龙
苍绿长颈龙,苍绿长颈龙,随从,野兽,0,card101,3,,,5,4,,,,,2;野兽;战吼
湮灭战车,湮灭战车,随从,机械,0,card102,3,,,3,4,,,,,2;手牌;机械;亡语;召唤
拉佐格尔,拉佐格尔,随从,龙,0,card103,3,,,4,4,,,,,2;手牌;龙
诺兹多姆,诺兹多姆,随从,龙,0,card104,4,,,8,8,,,,,2;龙;手牌;亡语
龙人使者,龙人使者,随从,龙,0,card105,3,,,4,5,,,,,2;手牌;龙;召唤
泰拉图斯,泰拉图斯,随从,野兽,0,card106,5,,,12,12,,,,,2;野兽
龙语者,龙语者,随从,,0,card107,4,,,3,5,,,,,2;中立;龙;手牌
空军指挥官,空军指挥官,随从,龙,0,card108,2,,,2,5,,,,,1;中立;龙;手牌
时间管理者,时间管理者,随从,龙,0,card109,2,,,3,4,,,,,2;龙;
巨型蟒蛇,巨型蟒蛇,随从,野兽,0,card110,3,,,5,3,,,,,2;手牌;野兽;亡语;召唤
安尼赫兰战场军官,安尼赫兰战场军官,随从,恶魔,0,card111,5,,,3,1,,,,,3;战吼;恶魔
鲭鱼圣者,鲭鱼圣者,随从,鱼人,0,card112,6,,,8,4,,,,,1;圣盾流;圣盾流;鱼人;圣盾
护盾机器人,护盾机器人,随从,机械,0,card113,2,,,2,2,圣盾,,,,2;机械;圣盾
吵吵机器人,吵吵机器人,随从,机械,0,card114,2,,,1,2,圣盾;嘲讽,,,,2;机械;圣盾;嘲讽
闹闹机器人,闹闹机器人,随从,机械,0,card115,3,,,3,4,圣盾;嘲讽,,,,2;机械;圣盾;嘲讽
粗俗的矮劣魔,粗俗的矮劣魔,随从,恶魔,0,card116,1,,,2,4,嘲讽;,,,,2;恶魔;嘲讽
邪鳍导航员,邪鳍导航员,随从,鱼人,0,card117,3,,,4,4,,,,,2;鱼人;战吼
骸骨巨龙,骸骨巨龙,随从,龙,0,card118,5,,,4,9,嘲讽;,,,,2;龙;嘲讽;手牌
锈誓信徒,锈誓信徒,随从,,0,card119,4,,,3,3,,,,,2;恶魔;战吼;中立;亡语;召唤
百变泽鲁斯,百变泽鲁斯,随从,,0,card120,3,,,1,1,,,,,2;特殊;奇异;中立
黑眼,黑眼,随从,恶魔,0,card121,3,,,3,4,,,,,2;恶魔
荒疫爬行者,荒疫爬行者,随从,机械,0,card122,5,,,2,4,,,,,2;亡语;机械;剧毒
辐射软泥怪,辐射软泥怪,随从,,1,card123,1,,,1,1,剧毒;,,,,
陵墓守望者,陵墓守望者,随从,机械,0,card124,5,,,3,6,嘲讽;,,,,2;战吼;机械;召唤;嘲讽
机械保险箱,机械保险箱,随从,机械,0,card125,3,,,4,5,嘲讽;,,,,2;亡语;召唤;机械;嘲讽
保险柜,保险柜,随从,机械,1,card126,1,,,0,5,嘲讽;,,,,
慈祥的外婆,慈祥的外婆,随从,野兽,0,card127,2,,,1,1,,,,,2;野兽;亡语;召唤
大灰狼,大灰狼,随从,野兽,1,card128,1,,,3,2,,,,,
腐化灰熊,腐化灰熊,随从,野兽,0,card129,2,,,2,2,,,,,4;特殊;召唤;野兽
鲜血女巫,鲜血女巫,随从,恶魔,0,card130,2,,,3,6,,,,,2;特殊;恶魔
地穴领主,地穴领主,随从,野兽,0,card131,2,,,1,6,嘲讽;,,,,3;特殊;野兽;召唤;嘲讽
污手街惩罚者,污手街惩罚者,随从,,0,card132,3,,,4,4,,,,,2;手牌;中立
高阶祭司阿门特,高阶祭司阿门特,随从,,0,card133,5,,,2,7,,,,,4;特殊;唯一;中立;召唤
飞刀杂耍者,飞刀杂耍者,随从,,0,card134,1,,,2,2,,,,,4;特殊;中立;亡语
//无面潜伏者,//无面潜伏者,随从,,0,card135,4,,,3,3,嘲讽;,,,,2;战吼;嘲讽
//分裂腐树,//分裂腐树,随从,,0,card136,5,,,4,4,,,,,2;特殊;亡语;召唤;中立
//分裂树苗,//分裂树苗,随从,,1,card137,1,,,2,2,,,,,2
//树枝,//树枝,随从,,1,card138,1,,,1,1,,,,,
软泥教授弗洛普,软泥教授弗洛普,随从,,0,card139,6,,,3,4,,,,,2;特殊;奇异;中立
软泥教授弗洛普,软泥教授弗洛普,随从,,1,card139,6,,,6,8,,,,,2;特殊;奇异;中立
狂野兽王,狂野兽王,随从,野兽,0,card140,3,,,3,4,,,,,2;野兽;特殊
夺心者卡什,夺心者卡什,随从,,0,card141,4,,,3,3,,,,,2;战吼;亡语;中立
菌菇术士,菌菇术士,随从,,0,card142,5,,,2,2,,,,,2;战吼;中立
炮火机甲,炮火机甲,随从,机械,0,card143,2,,,2,2,复生,,,,2;机械;复生
飞翼守护者,飞翼守护者,随从,野兽,0,card144,5,,,6,8,复生;嘲讽,,,,2;野兽;复生;嘲讽
铁皮恐角龙,铁皮恐角龙,随从,野兽,0,card145,5,,,7,7,,,,,2;野兽;超杀;召唤
铁皮小恐龙,铁皮小恐龙,随从,野兽,1,card146,1,,,5,5,,,,,
哈多诺克斯,哈多诺克斯,随从,野兽,0,card147,6,,,3,7,,,,,3;野兽;嘲讽;亡语;召唤
寄生恶狼,寄生恶狼,随从,野兽,0,card148,3,,,3,3,,,,,2;野兽;亡语;召唤
蜘蛛,蜘蛛,随从,野兽,1,card149,1,,,1,1,,,,,
憎恶弓箭手,憎恶弓箭手,随从,,0,card150,5,,,6,7,,,,,3;野兽;亡语;召唤;中立
高级修理机器人,高级修理机器人,随从,机械,0,card151,4,,,5,5,,,,,2;战吼;机械
厄运鼹鼠,厄运鼹鼠,随从,野兽,0,card152,1,,,1,3,,,,,
微型战斗机甲,微型战斗机甲,随从,机械,0,card153,1,,,1,2,,,,,2;特殊;机械
荒野行者,荒野行者,随从,,0,card154,3,,,4,4,,,,,2;战吼;中立;野兽
//疯狂的炼金师,//疯狂的炼金师,随从,,0,card155,1,,,2,2,,,,,2;战吼;中立;奇异
方阵指挥官,方阵指挥官,随从,,0,card156,3,,,4,5,,,,,4;中立;嘲讽
小鬼妈妈,小鬼妈妈,随从,恶魔,0,card157,6,,,6,10,,,,,2;恶魔;召唤;嘲讽
鱼人木乃伊,鱼人木乃伊,随从,鱼人,0,card158,1,,,1,1,复生,,,,2;鱼人;复生
夜色镇执法官,夜色镇执法官,随从,,0,card159,3,,,3,3,,,,,4;特殊;召唤;中立;圣盾
载人收割机,载人收割机,随从,机械,0,card160,3,,,4,3,,,,,2;机械;亡语;召唤
载人飞天魔像,载人飞天魔像,随从,机械,0,card161,4,,,6,4,,,,,2;机械;亡语;召唤
//青玉魔像,//青玉魔像,随从,,1,card162,1,,,0,0,,,,,2
//青玉巨兽,//青玉巨兽,随从,,0,card163,4,,,3,6,嘲讽,,,,2;战吼;中立;青玉;特殊;嘲讽
//青玉游荡者,//青玉游荡者,随从,,0,card164,1,,,1,1,,,,,2;亡语;中立;青玉;特殊
//青玉之灵,//青玉之灵,随从,,0,card165,2,,,2,3,,,,,2;战吼;中立;青玉;特殊
//艾雅·黑掌,//艾雅·黑掌,随从,,0,card166,6,,,5,3,,,,,2;战吼;亡语;中立;青玉;特殊
//流放者奥图里斯,//流放者奥图里斯,随从,恶魔,0,,6,,,6,4,,,,,4;恶魔;召唤
,,,,,,,,,,,,,,,
英雄,英雄,英雄,,1,,0,1,,0,30,,,,,
//探险家伊莉斯,//探险家伊莉斯,英雄,,0,,0,2,,0,30,,,,,
//观星者露娜,//观星者露娜,英雄,,0,,0,-1,,0,30,,,,,
砰砰博士,砰砰博士,英雄,,0,hero1,0,4,,0,30,,,,,
狗头人国王托瓦格尔,狗头人国王托瓦格尔,英雄,,0,hero2,0,-1,,0,30,,,,,
虚空之影瓦莉拉,虚空之影瓦莉拉,英雄,,0,hero3,0,-1,,0,30,,,,,
暗影映像,暗影映像,随从,,1,card167,1,0,,1,1,,,,,
尤格萨隆,尤格萨隆,英雄,,0,hero5,0,2,,0,30,,,,,
火车王里诺艾,火车王里诺艾,英雄,,0,hero6,0,-1,,0,30,,,,,
雏龙,雏龙,随从,龙,1,card168,1,0,,1,1,,,,,
//雷诺·杰克逊,//雷诺·杰克逊,英雄,,0,hero8,0,-1,,0,30,,,,,
贸易大王加里维克斯,贸易大王加里维克斯,英雄,,0,hero9,0,-1,,0,30,,,,,
//艾德温·范克里夫,//艾德温·范克里夫,英雄,,0,hero10,0,1,,0,30,,,,,
老蓟皮,老蓟皮,英雄,,0,hero11,0,-1,,0,20,,,,,Boss;
银背族长,银背族长,英雄,,0,hero12,0,-1,,0,20,,,,,Boss;
提里奥·弗丁,提里奥·弗丁,英雄,,0,hero13,0,1,,0,30,,,,,Boss;
米尔菲斯·法力风暴,米尔菲斯·法力风暴,英雄,,0,hero14,0,-1,,0,30,,,,,Boss;
加拉克苏斯大王,加拉克苏斯大王,英雄,,0,hero15,0,-1,,0,30,,,,,Boss;
Dr.Boom,Dr.Boom,英雄,,0,hero16,0,-1,,0,30,,,,,Boss;
馆长,馆长,英雄,,0,hero17,0,-1,,0,30,,,,,Boss;
夺旗,夺旗,法术,,0,treasure1,0,0,,0,0,被动;,,,,宝藏;
晶化宝石,晶化宝石,法术,,0,treasure2,0,0,,0,0,被动;,,,,宝藏;
活力药水,活力药水,法术,,0,treasure3,0,0,,0,0,被动;,,,,宝藏;
希望药剂,希望药剂,法术,,0,treasure4,0,0,,0,0,被动;,,,,宝藏;
凯尔萨斯的王冠,凯尔萨斯的王冠,法术,,0,treasure5,0,0,,0,0,被动;,,,,宝藏;唯一
//高级调酒师,//高级调酒师,法术,,0,treasure6,0,0,,0,0,被动;,,,,宝藏;
//融合实验,//融合实验,法术,,0,treasure7,0,0,,0,0,被动;,,,,宝藏;唯一
哈卡莱血祭杯,哈卡莱血祭杯,法术,,0,treasure8,0,0,,0,0,被动;,,,,宝藏;唯一
//馆长的收藏品,//馆长的收藏品,法术,,0,treasure9,0,0,,0,0,被动;,,,,宝藏;
//人才招募计划,//人才招募计划,法术,,0,treasure10,0,0,,0,0,被动;,,,,宝藏;
//超级加倍,//超级加倍,法术,,0,treasure11,0,0,,0,0,被动;,,,,宝藏;唯一
//舒筋活络,//舒筋活络,法术,,0,,0,0,,0,0,被动;,,,,宝藏
集结号角,集结号角,法术,,0,treasure13,0,0,,0,0,被动;,,,,宝藏;唯一
//荆棘外壳,//荆棘外壳,法术,,0,treasure14,0,0,,0,0,被动;,,,,宝藏;
起源图腾,起源图腾,法术,,0,treasure15,0,0,,0,0,被动;,,,,宝藏
鲍（阴）,鲍（阴）,法术,,0,treasure16,0,0,,0,0,被动;,,,,宝藏;唯一
勃（阳）,勃（阳）,法术,,0,treasure17,0,0,,0,0,被动;,,,,宝藏;唯一
//能量之泉,//能量之泉,法术,,0,,0,0,,0,0,被动;,,,,宝藏;唯一
//三个愿望,//三个愿望,法术,,0,treasure2,0,0,,0,0,被动;,,,,宝藏;
一袋铸币,一袋铸币,法术,,0,treasure18,0,0,,0,0,主动;,,,,宝藏;
商店兑换券,商店兑换券,法术,,0,treasure19,0,0,,0,0,主动;,,,,宝藏;
//召唤援军,//召唤援军,法术,,0,,0,3,,0,0,主动;,,,,宝藏;
//忠实护卫,//忠实护卫,随从,,1,,1,0,,8,8,,,,,
//一个愿望,//一个愿望,法术,,0,treasure2,0,0,,0,0,主动;,,,,
三连奖励1星,三连奖励1星,法术,,0,bonus,0,0,,0,0,,,,,
三连奖励2星,三连奖励2星,法术,,0,bonus,0,0,,0,0,,,,,
三连奖励3星,三连奖励3星,法术,,0,bonus,0,0,,0,0,,,,,
三连奖励4星,三连奖励4星,法术,,0,bonus,0,0,,0,0,,,,,
三连奖励5星,三连奖励5星,法术,,0,bonus,0,0,,0,0,,,,,
三连奖励6星,三连奖励6星,法术,,0,bonus,0,0,,0,0,,,,,
铸币,铸币,法术,,0,coin,0,0,,0,0,,,,,
